"llid","name","legacy_name","state","max_depth_m","mean_depth_m","source","lake_waterarea_ha","lake_connectivity_permanent","effort","lat","long","source_type","buffer100m_slope_mean"
454654,"PARKER CANYON LAKE - AT DAM",NA,"AZ",18.288,12.192,"en.wikipedia.org",42.6196672692,"Isolated","manual",31.4277778,-110.4563889,"Misc",NA
454977,"LYNX LAKE - AT DAM",NA,"AZ",NA,12.192,"en.wikipedia.org",20.0934195874,"Isolated","manual",34.5216667,-112.3866667,"Misc",NA
453872,"RAINBOW LAKE - AT DAM",NA,"AZ",NA,1.8288,"en.wikipedia.org",51.7976949466,"Drainage","manual",34.1538889,-109.9838889,"Misc",NA
453711,"CATARACT LAKE - AT DAM",NA,"AZ",NA,3.6576,"en.wikipedia.org",15.1599376236,"Isolated","manual",35.2516667,-112.2155556,"Misc",NA
453861,"WOODS CANYON LAKE - AT DAM",NA,"AZ",12.192,7.62,"www.fws.gov",22.3374625561,"Isolated","manual",34.3344444,-110.9369444,"Government",NA
453970,"WILLOW SPRINGS LAKE - AT DAM",NA,"AZ",NA,18.288,"en.wikipedia.org",58.6485072265,"Isolated","manual",34.3158333,-110.8763889,"Misc",NA
453937,"MORMON LAKE - AT DAM",NA,"AZ",NA,3.048,"en.wikipedia.org",1255.18013039,"Isolated","manual",34.9455556,-111.4413889,"Misc",NA
453820,"BLACK CANYON LAKE - AT DAM",NA,"AZ",18.288,10.668,"www.fws.gov",14.6836942302,"Isolated","manual",34.3310833,-110.6984722,"Government",NA
454663,"BIG LAKE - AT BOAT DOCK",NA,"AZ",NA,4.8768,"en.wikipedia.org",223.058721857,"DrainageLk","manual",33.8752778,-109.4233333,"Misc",NA
454163,"LAKE MOHAVE - ELDORADO CANYON",NA,"AZ",44.8056,22.86,"en.wikipedia.org",11157.6684707,"Drainage","manual",35.7088889,-114.705,"Misc",NA
454779,"ROOSEVELT LAKE - AT DAM",NA,"AZ",52.4256,NA,"fishing-app.gpsnauticalcharts.com",3960.88557102,"DrainageLk","manual",33.6769444,-111.1541667,"Misc",NA
454864,"ROOSEVELT LAKE - TONTO CREEK INLET",NA,"AZ",51.816,NA,"fishing-app.gpsnauticalcharts.com",1896.90586692,"Headwater","manual",33.7191667,-111.1922222,"Misc",NA
454839,"PECK'S LAKE - MID LAKE",NA,"AZ",3.048,NA,"en.wikipedia.org",38.0975679964,"Isolated","manual",34.7825,-112.0394,"Misc",NA
454327,"ROPER LAKE - AT DAM",NA,"AZ",NA,6.096,"en.wikipedia.org",10.6361475205,"Isolated","manual",32.75674,-109.7044,"Misc",NA
454603,"RIGGS FLAT LAKE - AT DAM",NA,"AZ",NA,13.716,"en.wikipedia.org",3.76949297778,"Isolated","manual",32.7075,-109.9656,"Misc",NA
454468,"ROSE CANYON LAKE - AT DAM",NA,"AZ",NA,13.4112,"en.wikipedia.org",2.78662918444,"Isolated","manual",32.38722,-110.7111,"Misc",NA
454669,"JD DAM LAKE - AT BOAT RAMP",NA,"AZ",NA,1.8288,"en.wikipedia.org",11.4712622961,"Isolated","manual",35.06722,-112.0272,"Misc",NA
454698,"CRESCENT LAKE - MID LAKE",NA,"AZ",NA,4.572,"en.wikipedia.org",74.7931513398,"Isolated","manual",33.90972,-109.4206,"Misc",NA
453939,"KINNIKINICK LAKE - AT DAM",NA,"AZ",NA,6.7056,"en.wikipedia.org",49.1049407477,"Isolated","manual",34.89583,-111.2992,"Misc",NA
453819,"BEAR CANYON LAKE - AT DAM",NA,"AZ",15.24,NA,"www.fws.gov",21.7633906265,"Headwater","manual",34.40673,-111.0016,"Government",NA
454703,"PERKINS LAKE - AT DAM",NA,"AZ",NA,3.048,"en.wikipedia.org",1.51752192189,"Isolated","manual",35.11139,-112.0703,"Misc",NA
453838,"LEE VALLEY RESERVOIR - AT DAM",NA,"AZ",6.096,3.048,"en.wikipedia.org",17.2791199782,"Headwater","manual",33.94194,-109.4994,"Misc",NA
454758,"TEMPE TOWN LAKE - USD",NA,"AZ",5.7912,4.8768,"en.wikipedia.org",126.352292896,"DrainageLk","manual",33.43308,-111.9192,"Misc",NA
454273,"MITTRY LAKE - AT DAM",NA,"AZ",NA,2.4384,"en.wikipedia.org",136.03619874,"Drainage","manual",32.82028,-114.4606,"Misc",NA
453965,"LAKE MARY (LOWER)  - DAM SITE",NA,"AZ",8.2296,NA,"fishing-app.gpsnauticalcharts.com",60.2369913893,"Headwater","manual",35.11194,-111.5825,"Misc",NA
454019,"NELSON RESERVOIR - AT DAM",NA,"AZ",7.3152,4.572,"en.wikipedia.org",28.2541621949,"DrainageLk","manual",34.05917,-109.1939,"Misc",NA
453948,"CARNERO LAKE - AT DEEPEST PART OF LAKE",NA,"AZ",3.048,1.8288,"en.wikipedia.org",28.487648754,"Drainage","manual",34.116,-109.5272,"Misc",NA
454729,"CANYON LAKE - DAM SITE IN LITTORAL ZONE",NA,"AZ",NA,39.624,"en.wikipedia.org",183.335430177,"DrainageLk","manual",33.55278,-111.4428,"Misc",NA
453833,"WOODLAND RESERVOIR - NEAR DAM / GATE",NA,"AZ",6.096,1.2192,"en.wikipedia.org",6.88571063198,"Isolated","manual",34.12681,-109.9529,"Misc",NA
454731,"GOLDWATER LAKE (UPPER) - DAM SITE",NA,"AZ",NA,3.048,"en.wikipedia.org",8.62007793084,"Isolated","manual",34.49843,-112.4509,"Misc",NA
454597,"LAKESIDE LAKE - AT DAM",NA,"AZ",10.668,4.572,"www.fws.gov",5.6659175782,"Isolated","manual",32.1863183,-110.8173686,"Government",NA
454621,"SILVERBELL LAKE -                                 USGS",NA,"AZ",2.1336,1.524,"www.fws.gov",6.17597228936,"Isolated","manual",32.2847222,-111.0311111,"Government",NA
475869,"Lake Natomas at Nimbus Flat -Left",NA,"CA",NA,14,"en.wikipedia.org",212.180016499,"DrainageLk","manual",38.634689,-121.2172394,"Misc",NA
478722,"Hensley Lake - Andy's Cove",NA,"CA",34,NA,"fishing-app.gpsnauticalcharts.com",576.592316564,"Headwater","manual",37.10817,-119.8697586,"Misc",NA
483387,"Lake Cahuilla",NA,"CA",91,NA,"en.wikipedia.org",55.1810965178,"Drainage","manual",33.62878,-116.2734528,"Misc",NA
476148,"Clear Lake - Treated-02-CLT-02",NA,"CA",17.9832,6.4008,"www.clearlakeguideservice.com",16018.4292564,"DrainageLk","manual",38.999683,-122.6725845,"Misc",NA
480596,"Soulajule Reservoir-02-S-02",NA,"CA",24.384,NA,"marinwater.org",19.8783694079,"Drainage","manual",38.147316,-122.7748184,"Misc",NA
482504,"Castaic Lake",NA,"CA",100.584,NA,"www.lakelubbers.com",903.021378055,"DrainageLk","manual",34.524948,-118.5993805,"Misc",NA
481789,"Lopez Lake",NA,"CA",38,NA,"fishing-app.gpsnauticalcharts.com",230.11752115,"Drainage","manual",35.197319,-120.4687881,"Misc",NA
482417,"Elderberry Forebay Site 1",NA,"CA",34,NA,"fishing-app.gpsnauticalcharts.com",154.631001789,"DrainageLk","manual",34.564869,-118.6331711,"Misc",NA
482507,"Big Bear Lake - Eagle Point-02-BBE-02",NA,"CA",22,11,"en.wikipedia.org",1090.56271503,"DrainageLk","manual",34.249001,-116.9060974,"Misc",NA
476851,"Hanning Flat",NA,"CA",22,NA,"fishing-app.gpsnauticalcharts.com",1950.41577936,"DrainageLk","manual",35.666561,-118.3957138,"Misc",NA
454274,"Ferguson Lake",NA,"CA",5.7,1.8,"www.env.gov.bc.ca",159.792557287,"DrainageLk","manual",32.972038,-114.4999924,"Government",NA
454136,"Taylor Lake",NA,"CA",5,NA,"nrm.dfg.ca.gov",73.4584164556,"Drainage","manual",33.030102,-114.6304016,"Government",NA
483164,"Lake Gregory",NA,"CA",13.716,NA,"www.mountain-news.com",32.9380395319,"Isolated","manual",34.242081,-117.2705612,"Misc",NA
482152,"Legg Lake",NA,"CA",3.048,0.9144,"www.waterboards.ca.gov",11.2597060492,"Headwater","manual",34.033298,-118.0594177,"Government",NA
473866,"Lake Pillsbury - Station 1",NA,"CA",30.48,11.5824,"pubs.usgs.gov",788.122268982,"Drainage","manual",39.41637,-122.9404831,"Government",NA
482136,"Pyramid Lake 01",NA,"CA",108.204,NA,"water.ca.gov",476.510536031,"DrainageLk","manual",34.666069,-118.7810593,"Government",NA
475063,"Folsom Lake at Browns Ravine",NA,"CA",76.2,NA,"www.californiasgreatestlakes.com",1716.34409733,"DrainageLk","manual",38.717361,-121.1031189,"Misc",NA
476689,"Camp 9",NA,"CA",16,NA,"fishing-app.gpsnauticalcharts.com",1161.72603191,"DrainageLk","manual",35.693001,-118.4434967,"Misc",NA
475520,"Lake of the Pines",NA,"CA",18.288,NA,"www.lakelubbers.com",88.8449149029,"Isolated","manual",39.035561,-121.0627975,"Misc",NA
481494,"Soulajule Reservoir-SM02-SM-02",NA,"CA",24.384,NA,"marinwater.org",2.91591648925,"Drainage","manual",38.041801,-122.0513153,"Misc",NA
480735,"Rodeo Lagoon Car Bridge",NA,"CA",2,NA,"en.wikipedia.org",15.3292243241,"Isolated","manual",37.83202,-122.526062,"Misc",NA
483334,"Salton Sea Drain SW2 (Salt Creek, Mouth)",NA,"CA",15.5448,9.144,"www.desertusa.com",94309.8914827,"DrainageLk","manual",33.446671,-115.8433304,"Misc",NA
473431,"Lewiston Lake",NA,"CA",19.812,2.1336,"www.lakelubbers.com",272.752348041,"DrainageLk","manual",40.746811,-122.7867203,"Misc",NA
450447,"GROUNDHOG",NA,"CO",27.432,NA,"pubs.usgs.gov",220.310160286,"Drainage","manual",37.7916,-108.293,"Government",NA
376378,"PUEBLO",NA,"CO",41.148,NA,"users.frii.com",941.147197155,"DrainageLk","manual",38.2669,-104.738,"Misc",NA
452123,"AVERY",NA,"CO",23.1648,NA,"www.fishidy.com",82.8182322255,"Drainage","manual",39.971127,-107.648,"Misc",NA
449999,"ISLAND",NA,"CO",23.4696,NA,"cpw.state.co.us",58.2892899217,"Headwater","manual",39.0383,-107.999,"Government",NA
450109,"EGGLESTON",NA,"CO",15.8496,NA,"cpw.state.co.us",52.5150592577,"DrainageLk","manual",39.0422,-107.946,"Government",NA
452001,"STEAMBOAT",NA,"CO",21.336,7.62,"www.lakelubbers.com",391.679379524,"DrainageLk","manual",40.79327,-106.9485,"Misc",NA
449847,"HIGHLINE",NA,"CO",15.24,NA,"www.outtherecolorado.com",61.0090609476,"DrainageLk","manual",39.27056,-108.84199,"Misc",NA
449121,"RUEDI",NA,"CO",74.9808,NA,"navionics",417.182033499,"DrainageLk","manual",39.36512,-106.81537,"Misc",NA
376470,"JOHN MARTIN",NA,"CO",18.288,3.048,"en.wikipedia.org",4729.13045705,"DrainageLk","manual",38.0674,-102.94363,"Misc",NA
376564,"HENRY",NA,"CO",3.048,NA,"cpw.state.co.us",483.918797504,"DrainageLk","manual",38.25955,-103.70437,"Government",NA
376210,"MEREDITH",NA,"CO",1.8288,NA,"en.wikipedia.org",2241.42833835,"DrainageLk","manual",38.21206,-103.67446,"Misc",NA
376136,"TRINIDAD",NA,"CO",21.336,NA,"navionics",318.137551825,"DrainageLk","manual",37.14162,-104.55412,"Misc",NA
361055,"ELEVENMILE",NA,"CO",41.148,NA,"cpw.state.co.us",1259.45341585,"DrainageLk","manual",38.9282,-105.512,"Government",NA
361290,"SPINNEY MOUNTAIN",NA,"CO",14.0208,NA,"cpw.state.co.us",972.347522029,"DrainageLk","manual",38.9831,-105.641,"Government",NA
360006,"ANTERO",NA,"CO",NA,5.4864,"coloradofishing.net",900.491822875,"Drainage","manual",38.9895,-105.906,"Misc",NA
359517,"CARTER",NA,"CO",54.864,NA,"www.northernwater.org",453.329719369,"Headwater","manual",40.32512,-105.21458,"Misc",NA
361058,"CHATFIELD",NA,"CO",47,NA,"en.wikipedia.org",562.239083047,"DrainageLk","manual",39.55602,-105.06285,"Misc",NA
450081,"SAN CRISTOBAL",NA,"CO",27,NA,"en.wikipedia.org",124.533804226,"Headwater","manual",37.97537,-107.289,"Misc",NA
453321,"LEMON",NA,"CO",57.3024,NA,"navionics",204.182171962,"DrainageLk","manual",37.39903,-107.66197,"Misc",NA
450419,"MCPHEE",NA,"CO",74.3712,NA,"navionics",1754.46226924,"DrainageLk","manual",37.47396,-108.53091,"Misc",NA
447213,"ALBERTA PARK",NA,"CO",NA,3.9624,"www.thesportsglobe.com",14.6574189572,"Drainage","manual",37.469201,-106.765821,"Misc",NA
359295,"SOUTH DELANEY",NA,"CO",7.0104,NA,"cpw.state.co.us",61.2789098973,"Drainage","manual",40.6995,-106.461,"Government",NA
359516,"BARR",NA,"CO",NA,10.3632,"www.denverpost.com",697.522232832,"DrainageLk","manual",39.95548,-104.75603,"Misc",NA
360338,"BEAR CREEK",NA,"CO",NA,14.6304,"www.ohranger.com",41.6518755777,"DrainageLk","manual",39.65133,-105.14001,"Misc",NA
450098,"BLUE MESA",NA,"CO",97.2312,NA,"navionics",3619.34418228,"DrainageLk","manual",38.46969,-107.30538,"Misc",NA
361059,"CHERRY CREEK",NA,"CO",NA,14.0208,"www.nwo.usace.army.mil",358.575571563,"DrainageLk","manual",39.6408333,-104.8577778,"Misc",NA
449642,"GRANBY",NA,"CO",67.3608,NA,"www.northernwater.org",2863.14757099,"DrainageLk","manual",40.1597222,-105.8652778,"Misc",NA
449545,"GRAND",NA,"CO",118.5672,NA,"en.wikipedia.org",195.295751541,"DrainageLk","manual",40.2486111,-105.8166667,"Misc",NA
360517,"PREWITT",NA,"CO",7.62,3.3528,"cpw.state.co.us",764.024395183,"DrainageLk","manual",40.42386,-103.357296,"Government",NA
449543,"DILLON",NA,"CO",NA,24.0792,"www.co.summit.co.us",1302.56964781,"DrainageLk","manual",39.621167,-106.057278,"Government",NA
446970,"RIO GRANDE",NA,"CO",14.9352,NA,"navionics",327.185272271,"DrainageLk","manual",37.71963,-107.276432,"Misc",NA
376140,"TWO BUTTES",NA,"CO",NA,6.096,"cpw.state.co.us",306.532496701,"Headwater","manual",37.637835,-102.5420617,"Government",NA
361291,"CHEESMAN RES",NA,"CO",57.912,NA,"books.google.com",358.143489173,"DrainageLk","manual",39.20905,-105.2739,"Misc",NA
450057,"Reed",NA,"CO",4.2672,NA,"books.google.com",7.41825451679,"DrainageLk","manual",39.03242833,-107.9490633,"Misc",NA
361116,"STRONTIA SPRINGS",NA,"CO",64.6176,NA,"books.google.com",32.7839769642,"DrainageLk","manual",39.43223,-105.1272,"Misc",NA
449962,"Vela",NA,"CO",7.0104,NA,"books.google.com",7.82084125617,"Drainage","manual",39.06296667,-107.871015,"Misc",NA
449751,"Waterdog",NA,"CO",6.096,NA,"www.fishexplorer.com",9.58743557013,"Headwater","manual",39.05707333,-108.0848683,"Misc",NA
449544,"SHADOW MOUNTAIN LAKE NEAR GRAND LAKE, CO.",NA,"CO",7.3152,NA,"www.lakelubbers.com",532.105343541,"DrainageLk","manual",40.2100833,-105.8420833,"Misc",NA
447083,"TERRACE RESERVOIR SITE T1B",NA,"CO",41.148,NA,"pubs.usgs.gov",56.5978365928,"DrainageLk","manual",37.3605611,-106.2878104,"Government",NA
376471,"NEENOSHE RESERVOIR DUP2",NA,"CO",21.336,7.62,"cpw.state.co.us",1281.72852631,"DrainageLk","manual",38.333341,-102.7004725,"Government",NA
450040,"CRYSTAL RES BLW MORROW POINT DAM NEAR CIMARRON, CO",NA,"CO",85.344,NA,"navionics",99.1264112733,"DrainageLk","manual",38.4527659,-107.5422807,"Misc",NA
359576,"ARVADA-RESERVOIR NEAR TOWER",NA,"CO",18.288,NA,"navionics",65.8143322388,"DrainageLk","manual",39.8219312,-105.2063769,"Misc",NA
359515,"STANDLEY LAKE -- NEAR CENTER",NA,"CO",29.2608,NA,"en.wikipedia.org",494.138296921,"DrainageLk","manual",39.863875,-105.1235963,"Misc",NA
452210,"SOUTH TWIN LAKE",NA,"CO",27,NA,"www.nativefishlab.net",20.2154750489,"Isolated","manual",39.9466486,-107.2922777,"Misc",NA
449845,"WILLOW CREEK RESERVOIR NEAR DAM NEAR GRANBY, CO",NA,"CO",37.7952,NA,"www.northernwater.org",118.223000234,"DrainageLk","manual",40.1480556,-105.9436111,"Misc",NA
360835,"SANDBEACH LAKE",NA,"CO",15.24,NA,"www.rockymountainhikingtrails.com",4.85614284458,"Headwater","manual",40.2172072,-105.6016691,"Misc",NA
449631,"COLUMBINE LAKE",NA,"CO",2.4384,NA,"www.fs.usda.gov",12.3258222266,"Drainage","manual",40.2594295,-105.8475125,"Government",NA
359781,"SKY POND SURFACE - LOCH VALE",NA,"CO",7.4,4.5,"culter.colorado.edu",4.11260456889,"Drainage","manual",40.278318,-105.668894,"University",NA
360300,"GLASS LAKE SURFACE - LOCH VALE",NA,"CO",4.7,2.8,"culter.colorado.edu",1.272371391,"Drainage","manual",40.2819291,-105.6655605,"University",NA
359787,"THE LOCH SURFACE - LOCH VALE",NA,"CO",4.7,1.5,"culter.colorado.edu",5.27314203579,"Drainage","manual",40.2924846,-105.6572268,"University",NA
359564,"LAKE ESTES NEAR DAM NEAR ESTES PARK, CO",NA,"CO",13.716,NA,"www.northernwater.org",56.0693450078,"DrainageLk","manual",40.3752615,-105.4891638,"Misc",NA
360045,"LOUISE S",NA,"CO",7.62,NA,"www.tidalfish.com",2.43622928889,"Headwater","manual",40.5077609,-105.620835,"Misc",NA
360793,"HORSETOOTH RESERVOIR NR SPRING CANYON DAM SITE C",NA,"CO",60.96,NA,"en.wikipedia.org",735.54585974,"DrainageLk","manual",40.5297049,-105.1444258,"Misc",NA
358001,"JONAH LAKE",NA,"CO",3.6576,NA,"mountainjaymedia.com",2.84034305823,"Headwater","manual",40.5516441,-106.677821,"Misc",NA
358002,"WHALE LAKE",NA,"CO",11.2776,NA,"mountainjaymedia.com",3.61616594996,"Drainage","manual",40.5569219,-106.6744875,"Misc",NA
452237,"FISH HAWK LAKE, CO",NA,"CO",7.3152,NA,"mountainjaymedia.com",3.15189786551,"DrainageLk","manual",40.6288889,-106.7694444,"Misc",NA
452173,"LAKE MARGARET",NA,"CO",15.24,NA,"mountainjaymedia.com",11.6468742675,"Headwater","manual",40.6330307,-106.7569903,"Misc",NA
452284,"LAKE ELBERT",NA,"CO",10.668,NA,"mountainjaymedia.com",4.64453819676,"Headwater","manual",40.6341423,-106.7075437,"Misc",NA
359272,"LOWER RAINBOW LAKE",NA,"CO",8.8392,NA,"mountainjaymedia.com",2.95171993615,"DrainageLk","manual",40.6485874,-106.6180949,"Misc",NA
358511,"MIDDLE RAINBOW LAKE",NA,"CO",10.0584,NA,"mountainjaymedia.com",2.46633761059,"DrainageLk","manual",40.6488652,-106.6230951,"Misc",NA
451886,"LAKE OF THE CRAGS IN MOUNT ZIRKEL WILDERENSS, CO",NA,"CO",3.3528,NA,"mountainjaymedia.com",2.15997507185,"Headwater","manual",40.649142,-106.7139327,"Misc",NA
450153,"UPPER EGGLESTON LAKE NEAR GRAND MESA, CO.",NA,"CO",15.8496,NA,"cpw.state.co.us",11.825330359,"Drainage","manual",39.0519247,-107.9325665,"Government",NA
449341,"KITSON RESERVOIR NEAR GRAND MESA, CO.",NA,"CO",3.9624,NA,"books.google.com",5.75118204398,"Drainage","manual",39.0808133,-107.9525675,"Misc",NA
449455,"NEVERSWEAT RESERVOIR NEAR GRAND MESA, CO.",NA,"CO",4.572,NA,"books.google.com",9.37574204992,"Drainage","manual",39.0927577,-107.9392338,"Misc",NA
449753,"BONHAM RESERVOIR NEAR GRAND MESA, CO.",NA,"CO",14.6304,NA,"books.google.com",30.7776286665,"DrainageLk","manual",39.103869,-107.8928433,"Misc",NA
360883,"TERRY LAKE",NA,"CO",10.668,NA,"www.tlra.co",129.669234072,"DrainageLk","manual",40.2233181,-105.123039,"Misc",NA
359562,"MARYS LAKE",NA,"CO",10.0584,NA,"www.northernwater.org",15.1253699335,"Drainage","manual",40.3422062,-105.5302769,"Misc",NA
358003,"SHOESTRING LAKE",NA,"CO",2.1336,NA,"mountainjaymedia.com",1.68580954273,"Drainage","manual",40.5574775,-106.6689316,"Misc",NA
357491,"MARTHA LAKE IN MOUNT ZIRKEL WILDERNESS, CO",NA,"CO",9.7536,NA,"mountainjaymedia.com",3.45602417961,"Headwater","manual",40.5583106,-106.6814322,"Misc",NA
452114,"PORCUPINE LAKE",NA,"CO",5.1816,NA,"mountainjaymedia.com",1.80134035409,"Drainage","manual",40.6191424,-106.7206,"Misc",NA
452113,"SNOWSTORM LAKE",NA,"CO",13.716,NA,"mountainjaymedia.com",5.52658431097,"DrainageLk","manual",40.6285863,-106.765324,"Misc",NA
452283,"LUNA LAKE IN MOUNT ZIRKEL WILDERENSS, CO",NA,"CO",16.764,NA,"mountainjaymedia.com",15.5241751432,"Drainage","manual",40.6413643,-106.7214331,"Misc",NA
358012,"SLIDE LAKE",NA,"CO",19.812,NA,"mountainjaymedia.com",9.35977230574,"Isolated","manual",40.6502536,-106.6592079,"Misc",NA
357493,"UPPER SLIDE LAKE IN MOUNT ZIRKEL WILDERNESS, CO",NA,"CO",10.668,NA,"mountainjaymedia.com",2.58864066155,"Isolated","manual",40.655809,-106.6658748,"Misc",NA
451945,"NORTH LAKE",NA,"CO",2.7432,NA,"mountainjaymedia.com",1.62726859427,"Drainage","manual",40.7230298,-106.6919863,"Misc",NA
359008,"TWIN LAKE (LOWER)",NA,"CO",6.7056,NA,"mountainjaymedia.com",8.87852653865,"Isolated","manual",40.8160842,-106.6136489,"Misc",NA
359009,"BLUE LAKE DUP2",NA,"CO",40.2336,NA,"mountainjaymedia.com",8.86862131211,"Drainage","manual",40.8246952,-106.6155934,"Misc",NA
359263,"SEVEN LAKES",NA,"CO",7.62,NA,"mountainjaymedia.com",3.88448093234,"Headwater","manual",40.8955269,-106.6814287,"Misc",NA
7096,"Pickerel Lake",NA,"CT",3.048,1.8288,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",32.2771098507,"Drainage","manual",41.52566667,-72.42033333,"Misc",NA
6817,"Silver Lake",NA,"CT",4.8768,1.524,"portal.ct.gov",56.8912838864,"DrainageLk","manual",41.58566667,-72.76933333,"Government",NA
6800,"Pocotopaug Lake",NA,"CT",11.5824,3.68808,"www.easthamptonct.gov",206.907296977,"Drainage","manual",41.596075,-72.50807778,"Government",NA
6684,"West Thompson Reservoir",NA,"CT",15.3924,6.52272,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",81.0853819284,"DrainageLk","manual",41.95199167,-71.90238333,"Misc",NA
7195,"Aspinook Pond",NA,"CT",8.2296,2.65176,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",124.982180947,"DrainageLk","manual",41.63902778,-71.97558611,"Misc",NA
6902,"Lake Lillinonah",NA,"CT",30.48,7.62,NA,619.580593191,"DrainageLk","manual",41.53479722,-73.40539722,"Misc",NA
7132,"Heminway Pond",NA,"CT",1.2192,NA,"www.ct.gov",2.94757674266,"DrainageLk","manual",41.60495563,-73.112807,"Government",NA
18395,"Pattaconk Reservoir",NA,"CT",4.572,2.62128,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",20.5584094893,"Drainage","manual",41.40889167,-72.52602222,"Misc",NA
7435,"Millers Pond",NA,"CT",5.4864,NA,"cteco.uconn.edu",12.6917029722,"Drainage","manual",41.47590278,-72.63436111,"University",NA
7412,"Mashapaug Lake",NA,"CT",13.1064,2.80416,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",120.562767398,"DrainageLk","manual",42.01425278,-72.13197778,"Misc",NA
6616,"Lake Chaffee",NA,"CT",3.3528,1.8288,"www.lakechaffee.net",21.1068413304,"Headwater","manual",41.93935556,-72.19531667,"Misc",NA
6849,"Lake Hayward",NA,"CT",11.2776,3.048,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",72.2133118861,"DrainageLk","manual",41.52098333,-72.32968333,"Misc",NA
7138,"Quaddick Reservoir",NA,"CT",5.4864,NA,"en.wikipedia.org",84.1174739414,"DrainageLk","manual",41.95653333,-71.81753611,"Misc",NA
7179,"Saugatuck Reservoir",NA,"CT",33.528,13.716,"en.wikipedia.org",333.050264161,"DrainageLk","manual",41.25099444,-73.35025,"Misc",NA
6795,"Williams Pond",NA,"CT",2.5,NA,"portal.ct.gov",109.301134312,"Drainage","manual",41.63042778,-72.30146389,"Government",NA
6599,"Lake Beseck",NA,"CT",7.3152,3.41376,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",45.1625266874,"Headwater","manual",41.519,-72.73,"Misc",NA
6975,"Cedar Pond",NA,"CT",5.3,NA,"portal.ct.gov",8.73870407207,"Drainage","manual",41.32105556,-72.7795,"Government",NA
6625,"Linsley Pond",NA,"CT",13.4112,6.2484,"portal.ct.gov",9.275223028,"Drainage","manual",41.31808333,-72.78444444,"Government",NA
6906,"Hanover Reservoir",NA,"CT",2.1336,0.762,"healy. water-quality characteristics of selected public recreational lakes and ponds in connecticut",8.28914426894,"DrainageLk","manual",41.64856944,-72.06162222,"Misc",NA
